abandoned,marooned
abandoning,marooning
adventurer,buccaneer
adventurers,buccaneers
agreed,yay
alcohol,rum
am,be
america,the new world
and,an'
animal,bilge rat
animals,bilge rats
apartment,deck
apartments,decks
are,be
argh,arrr
armistice,parley
asap,snap to it
attention,avast
band,crew
bank,hold
bar-maid,wench
barmaid,wench
bartender,barkeep
bathroom,head
bedtime,lights out
behold,avast
binocular,spyglass
binoculars,spyglass
biscuit,hardtack
boss,foul blaggart
boy,laddy
boys,lads
bread,hardtack
bro,bucko
bud,mate
buddies,mateys
buddy,matey
buddys,mateys
bullet,musketball
bye,be off then
captain,cap'n
car,vessel
carpenter,shipwright
cease,avast
ceasefire,parley
cleaning,scrubbin'
community,crew
conference,parley
conspiracy,mutiny
conspirator,mutineer
crazy,daft
crippled,maimed
damn,damn to the depths
darling,beauty
deceived,hornswoggled
deposit,hold
despicable,vile
didn't,did nay
dinosaur,reptile
dinosaurs,reptiles
dirty,filthy
disease,scurvy
drink,grog
driver,helmsman
drunk,three sheets to the wind
dude,mate
dudes,mates
dudette,princess
dumb,foolish
dupe,hornswoggle
duped,hornswoggled
duper,hornswoggler
email,pigeon message
enemies,filthy dogs
enemy,foe
ever,e'er
eye,me good eye
eyeglasses,specs
eyepatch,me bad eye
fail,scupper
fat,blubber
food,grub
for,fer
forever,fore'er
friend,m'hearty
friend,mate
friends,mates
funny,jolly
galleon,man-o'-war
girl,lassie
girls,lasses
glasses,specs
gonna,fixin' to
good,jolly
gossip,mutiny
gossiper,mutineer
great,jolly
group,crew
gun,blunderbuss
gunpowder,shot
guy,scurvy dog
guys,scurvy dogs
ha,harr
hack,hornswoggle
hacked,hornswoggled
hacker,hornswoggler
haha,harharr
halt,avast
handgun,handcannon
happy,grog-filled
have,'ave
hello,ahoy
here,'ere
hey,'ay
hi,ahoy
him,'im
hiya,ahoy-arr
hold,hould
home,tortuga
i'm,i be
idiot,scallywag
inebriated,three sheets to the wind
intoxicated,three sheets to the wind
is,be
it's,it be
jail,brig
journey,voyage
juke,hornswoggle
juked,hornswoggled
juker,hornswoggler
kitchen,galley
knife,dagger
landlover,landlubber
lately,as o' late
leave,set sail
lift,hoist
liquid,grog
lmao,i have lost me booty laughin' so hard
lmfao,i have lost me booty laughin' so hard
lol,yo ho ho
loudmouth,gobshite
lover,lubber
man,seaman
many,plenty'o
math,maths
mathematic,maths
mathematics,maths
meeting,parley with rum and cap'n
men,seamen
miserable,wretched
misinformed,hornswoggled
misinformer,hornswoggler an' lyin' type
miss,proud beauty
mister,master
money,doubloons
monster,foul beast
mr,master
mr.,master
mrs,mistress
mrs.,mistress
ms,miss
ms.,miss
must,shall
my,me
myself,meself
navy,royal navy
nearby,broadside
negotiate,parley
negotiation,parley
never,ne'er
new,shiny new
no,nay
of,o'
oh no,shiver me timbers
old,barnacle covered
organs,guts
over,o'er
pal,mate
pals,mates
par,parley
parsley,parley
parsnip,parley
phew,ye near gave me a fright laddie
pickpocket,pilfer
pirate,gentlemen o' fortune
pirates,gentlemen o' fortune
pirating,treasure hunting
plane,boat
president,governor
prison,brig
promise,solemn oath
promises,solemn oaths
pub,fleabag inn
quickly,smartly
rarr,arr
ration,hardtack
rations,grub
rawr,arr
repair,mend
repaired,mended
rifle,musket
sea,briney deep
seen,spied
semi-related,half-related
she's,she be
shipbiscuit,hardtack
shit,shite
shortsword,cutlass
sir,matey
something,summat
sometimes,oftentimes
song,shanty
steal,plunder
stop,avast
stranger,scurvy dog
strong,heave-ho
sup,what be the matter
take,pillage
taking,grabbin'
talk,parley
talking,blabberin'
telescope,spyglass
that's,that be
that,that there
the,th'
them,'em
they're,they be
this,this here
those,them
translating,translatin'
translator,device o' translation
treasure,booty
tricked,hornswoggled
up here,up on deck
up,to the sky
vote,mutiny
was,been
we're,we be
welcome,ye be welcome
were,was
where,whar
whole,'ole
will be,be
wtf,blimey
wth,blimey
ya,yarr
yay,yo-ho-ho
yeah,yarr
yes,aye
you're,ye be
you,ye
your,yer
yourself,yerself
